,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/1789947_zaanstraat,Zaanstraat ,1013 RS,1650.0,70,2,Gestoffeerd,2020-07-01,2020-06-15 12:24:11.226989
https://www.woonnet.nl/huurwoning/amsterdam/10319181_curacaostraat,Curacaostraat ,1058 BN,1650.0,60,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:11.227728
https://www.woonnet.nl/huurwoning/amsterdam/3258_schippersgracht,Schippersgracht ,1011 TS,1250.0,50,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:11.228411
https://www.woonnet.nl/huurwoning/amsterdam/10332460_egelantiersgracht,Egelantiersgracht ,1015 RM,1200.0,45,1,Gemeubileerd,beschikbaar,2020-06-15 12:24:12.389682
https://www.woonnet.nl/huurwoning/amsterdam/10302376_ruysdaelstraat,Ruysdaelstraat 7 -II,1071 WX,1700.0,66,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:12.390416
https://www.woonnet.nl/huurwoning/amsterdam/9108_dostojevskisingel,Dostojevskisingel ,1102 XM,1090.0,45,1,Gemeubileerd,01-07-2020,2020-06-15 12:24:12.391097
https://www.woonnet.nl/huurwoning/amsterdam/10307239_kuipersstraat,Kuipersstraat 58 HL,1074 EN,725.0,999,99,onbekend,onbekend,2020-06-15 12:24:13.615697
https://www.woonnet.nl/huurwoning/amsterdam/10300675_nieuwendijk,Nieuwendijk 104 C,1012 MR,1500.0,66,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:13.616416
https://www.woonnet.nl/huurwoning/amsterdam/5935_binnenkadijk,Binnenkadijk ,1018 ZE,1025.0,77,4,Gestoffeerd,01-07-2020,2020-06-15 12:24:13.617102
https://www.woonnet.nl/huurwoning/amsterdam/10300888_jan-van-zutphenstraat,Jan Van Zutphenstraat ,1069 RS,1421.0,96,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:13.617759
https://www.woonnet.nl/huurwoning/amsterdam/10301763_oude-waal,Oude Waal ,1011 BX,1950.0,90,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:14.230156
